"scope","current_url","label","in_sitemap","current_state","page_family","search_intent","disposition","destination","freshness_risk","image_quality","source_quality","advisory_relationship","conversion_route","confidence","evidence_or_blocker"
"primary-article","/news/2026-08-13-omniyat-acquires-36-600-sqm-marjan-beach-plot-in-first-rak","Omniyat acquires Marjan Beach plot in first RAK expansion","yes","200,indexable","market-pulse","Omniyat RAK land acquisition and project implications","IMPROVE","self","medium","I2 no display media","S1 Marjan first-party plus secondary corroboration","News with direct Al Marjan/Wynn advisory bridge; not Latest from Raj","https://investwithraj.com/areas/al-marjan-island then /engage","high","Obtain exact transaction/site media and distinguish Marjan Beach from Wynn/Al Marjan context"
"primary-article","/news/2026-07-28-burtville-launches-405-unit-bab-al-qasr-garden-residences-65","Burtville launches Bab Al Qasr Garden Residences 65","yes","200,indexable","launch","Masdar City project launch details","IMPROVE","self","high","I1 contextual Yas Island image is mismatched","S5 single syndicated Zawya press release","News; bridge to Masdar City only after evidence improves","/engage via decision CTA; future Masdar dossier","medium","Require developer/master-developer primary material and independent confirmation; exact project media"
"primary-article","/news/2026-07-26-off-plan-sales-capture-71-of-dubai-transactions-as-h1-2026-h","Off-plan sales capture 71% of Dubai transactions in H1 2026","yes","200,indexable","market-pulse","Dubai H1 off-plan share and transaction totals","IMPROVE","self","high","I1 contextual Downtown image","S2 two independent secondary reports; no primary dataset linked","News; candidate for separate Raj-authored off-plan cycle analysis","separate Latest from Raj thesis then /engage; otherwise decision CTA","high","Add DLD dataset/methodology, exact chart and dated comparison base"
"primary-article","/news/2026-07-25-dubai-logs-aed-419-94bn-in-h1-transactions-as-weekly-volumes","Dubai logs AED 419.94bn in H1 transactions","yes","200,indexable","market-pulse","Dubai H1 and weekly property transaction volume","IMPROVE","self","high","I1 contextual Palm Jumeirah image","S3 one credible publication only","News only","/engage via decision CTA; link DLD Pulse filter","high","Add primary DLD record, exact chart and reconciliation of H1 versus weekly measures"
"primary-article","/news/2026-07-23-aldar-activates-aed-100-bn-marsa-al-saadiyat-saadiyat-island","Aldar activates AED 100bn Marsa Al Saadiyat","yes","200,indexable","launch","Marsa Al Saadiyat launch facts and investment context","KEEP","self","medium","I0 exact approved Aldar editorial image","S1 Aldar primary plus two publications","News with direct Saadiyat and Aldar dossier bridge","https://investwithraj.com/areas/saadiyat-island then /engage","high","Strongest current article; still separate reported facts from any Raj conclusion"
"primary-article","/news/2026-07-22-dubai-office-rents-stabilise-at-aed-238-sqft-as-grade-a-scar","Dubai office rents stabilise at AED 238 per sqft","yes","200,indexable","market-pulse","Dubai Grade A office rents and supply","IMPROVE","self","high","I1 contextual Downtown image","S3 one credible publication only","News; candidate for a separately authored office-market thesis","separate Latest from Raj thesis then /engage; otherwise decision CTA","high","Add original research source/data table and exact office image; recheck forecasts"
"primary-article","/news/2026-07-21-ethiopia-sets-10m-investment-bar-for-golden-visa-18-uae-prop","Ethiopia sets $10m investment bar for Golden Visa","yes","200,indexable","policy","Ethiopia investor visa threshold comparison","REMOVE","410 Gone","high","I2 no display media","S4 cited Gulf News URL concerns Dubai visas and does not support Ethiopia claim","No strategic relationship; external and unsupported","none","high","Preserve evidence snapshot before removal; no redirect to unrelated content"
"primary-article","/news/2026-07-19-aed-318-billion-q1-transactions-reveal-diverging-investor-ma","AED 318bn Q1 transactions reveal diverging investor mandates","yes","200,indexable","market-pulse","UAE/Dubai Q1 transaction mix and investor strategy","IMPROVE","self","high","I1 contextual Hudayriyat image","S1 DLD primary plus two secondary sources","News; strong candidate for separately authored Raj allocation thesis","separate Latest from Raj thesis then /engage","high","Clarify geography and metric definitions; replace broad area image with exact chart"
"primary-article","/news/2026-07-14-dubai-property-prices-fall-1-24-in-june-as-yields-hold-at-6-","Dubai property prices fall 1.24% in June as yields hold at 6.93%","yes","200,indexable","market-pulse","Dubai monthly prices and yields","IMPROVE","self","high","I1 contextual Dubai Hills image","S3 one credible publication only","News; candidate for separately authored Raj pricing/yield interpretation","separate Latest from Raj thesis then /engage","high","Link underlying index methodology and exact chart; label period/base clearly"
"primary-article","/news/2026-07-12-kuwait-property-deals-fall-13-as-land-fees-and-war-chill-h1-","Kuwait property deals fall 13% in H1 2026","yes","200,indexable","market-pulse","Kuwait property transaction decline","REMOVE","410 Gone","high","I2 no display media","S3 one credible publication only","No direct UAE advisory or Raj Intelligence relationship","none","medium","Removal is strategic; confirm no backlinks/search demand before 410"
"primary-article","/news/2026-07-10-aldar-unveils-dh6bn-yas-point-1-600-residences-anchor-northe","Aldar unveils Dh6bn Yas Point","yes","200,indexable","launch","Yas Point project launch and waterfront supply","IMPROVE","self","high","I1 contextual Saadiyat image is mismatched","S1 Aldar primary plus secondary coverage; one domain repeated","News with direct Yas and Aldar dossier bridge","https://investwithraj.com/areas/yas-island then /engage","high","Use exact Yas Point media; reconcile category and remove duplicated source-domain appearance"
"primary-article","/news/2026-07-10-dubai-retail-sales-surge-171-to-aed-2-1bn-as-off-plan-mandat","Dubai retail sales surge 171% to AED 2.1bn","yes","200,indexable","market-pulse","Dubai retail property sales and off-plan mix","IMPROVE","self","high","I1 contextual Downtown image","S1 DLD primary plus two secondary sources","News; possible separately authored retail-property thesis","separate Latest from Raj thesis then /engage; otherwise decision CTA","high","Clarify that retail means property segment, add exact chart and inline evidence"
"primary-article","/news/2026-07-09-modon-and-adib-launch-75-off-plan-financing-for-abu-dhabi-co","Modon and ADIB launch 75% off-plan financing","yes","200,indexable","launch","Abu Dhabi off-plan mortgage product","IMPROVE","self","high","I1 contextual Hudayriyat image","S5 single syndicated Zawya press release","News with Modon advisory bridge","https://investwithraj.com/developers/modon then /engage","medium","Add Modon/ADIB primary terms, eligibility, effective dates and independent confirmation"
"primary-article","/news/2026-07-08-dubai-ultra-prime-sales-hit-5-1bn-as-296-homes-above-10m-tra","Dubai ultra-prime sales hit $5.1bn in H1","yes","200,indexable","market-pulse","Dubai $10m-plus home sales","MERGE","/news/2026-08-13-dubai-luxury-segment-posts-aed-87-71bn-as-conviction","high","I1 contextual Palm Jebel Ali image","S2 two independent publications","News; fold evidence into newer luxury-cycle report","newer report then separate authored luxury thesis and /engage","high","Merge non-duplicative data and 301 after validating metric compatibility"
"primary-article","/news/2026-07-06-bugatti-residences-closes-aed-270mn-in-june-penthouse-sales","Bugatti Residences closes AED 270m in June penthouse sales","yes","200,indexable","market-pulse","Bugatti Residences luxury sales","IMPROVE","self","high","I2 no display media","S2 four independent publications; no first-party record","News with luxury/project bridge only if a matching advisory dossier exists","/engage via decision CTA","high","Add exact project/transaction source and image; distinguish bookings from registered transfers"
"primary-article","/news/2026-07-02-dubai-real-estate-sets-historic-high-water-mark-with-aed-252","Dubai real estate sets AED 252bn Q1 high-water mark","yes","200,indexable","market-pulse","Dubai Q1 transaction value","IMPROVE","self","high","I1 contextual Palm Jumeirah image","S1 DLD primary plus secondary","News; candidate for separately authored cycle analysis","separate Latest from Raj thesis then /engage","high","Add exact DLD chart, metric definitions and comparison dates"
"primary-article","/news/2026-07-01-uk-buyers-lead-dubai-property-demand-but-banks-tighten-the-g","UK buyers lead Dubai demand but banks tighten the gate","yes","200,indexable","market-pulse","UK buyer demand and Dubai mortgage constraints","IMPROVE","self","high","I1 contextual Dubai Marina image","S2 three independent publications; no regulator/bank primary","News; candidate for separately authored Raj buyer-finance thesis","separate Latest from Raj thesis then /engage","high","Separate buyer-origin data from lending policy; add bank/regulator primary terms"
"primary-article","/news/2026-06-29-dar-global-launches-19-fendi-casa-villas-at-oman-s-aida-clif","Dar Global launches Fendi Casa villas at AIDA Oman","yes","200,indexable","launch","Oman branded-villa launch","REMOVE","410 Gone","high","I2 no display media","S5 single syndicated Zawya press release","No direct UAE advisory relationship","none","medium","Strategic removal; confirm backlinks and whether a client mandate justifies archival noindex instead"
"primary-article","/news/2026-06-28-dubai-mandates-monthly-rent-option-across-12-landlords-in-fl","Dubai mandates monthly rent option in Flexi Rent pilot","yes","200,indexable","policy-news","Dubai monthly rent payment pilot","REDIRECT","/news/2026-06-23-dubai-launches-flexi-rent-12-landlords-offer-monthly-instalm","high","I2 no display media","S2 three independent publications","News; canonical Flexi Rent report can feed separate Raj tenancy analysis","canonical report then /engage","high","Near-duplicate event; merge any later clarifications before 301"
"primary-article","/news/2026-06-24-oman-tenders-1-035bn-solar-mandate-as-vision-2040-absorbs-1-","Oman tenders $1.035bn solar mandate","yes","200,indexable","macro-infrastructure","Oman renewable-energy procurement","REMOVE","410 Gone","high","I2 no display media","S4 two citations from the same Zawya domain; not independent","No property-advisory relationship","none","high","Off-topic for newsroom promise; no redirect to unrelated property content"
"primary-article","/news/2026-06-23-dubai-launches-flexi-rent-12-landlords-offer-monthly-instalm","Dubai launches Flexi Rent","yes","200,indexable","policy-news","Dubai monthly rent payment pilot","IMPROVE","self","high","I2 no display media","S2 three publications plus market-report source","News; candidate for separately authored Raj landlord/tenant interpretation","separate Latest from Raj thesis then /engage","high","Canonical survivor; add official DLD/property-management terms and a correction/update timestamp"
"primary-article","/news/2026-06-22-oman-scraps-sponsor-mandate-for-property-linked-residency-pe","Oman scraps sponsor mandate for property-linked residency","yes","200,indexable","policy","Oman property-linked residency rules","NOINDEX","self; remove from sitemap","high","I2 no display media","S4 citation is only the Gulf News homepage","No direct UAE advisory relationship pending a verified cross-border mandate","/engage only if retained as a client note","high","Do not index until an exact official authority and current rule text are attached"
"primary-article","/news/2026-06-22-from-dhoom-to-dubai-how-rimi-sen-traded-bollywood-for-luxury","From Dhoom to Dubai: Rimi Sen and luxury real estate","yes","200,indexable","profile","celebrity real-estate career story","REMOVE","410 Gone","medium","I2 no display media","S2 two publications","No decision-useful property intelligence relationship","none","high","Celebrity profile is outside the consequence-led editorial strategy"
"primary-article","/news/2026-06-20-ahs-properties-acquires-shangri-la-dubai-for-dh1-1bn-eyes-dh","AHS acquires Shangri-La Dubai for Dh1.1bn","yes","200,indexable","launch","Shangri-La Dubai acquisition","REDIRECT","/news/2026-06-10-shangri-la-dubai-sells-for-dh1-1bn-as-sheikh-zayed-road-valu","medium","I2 no display media","S2 two independent publications","News; consolidate into canonical transaction report","canonical report then /engage","high","Same transaction/event; merge later buyer/development detail before 301"
"primary-article","/news/2026-06-18-dld-expands-barwa-programme-with-workshops-after-serving-18-","DLD expands Barwa Programme","yes","200,indexable","institutional-news","DLD community programme update","NOINDEX","self; remove from sitemap","medium","I2 no display media","S1 DLD primary plus secondary","News only; low relevance to client capital decisions","global /engage only","high","Retain as institutional archive if desired, but exclude from search estate"
"primary-article","/news/2026-06-18-abu-dhabi-residential-sales-hit-dh38-1bn-in-record-q1-2026","Abu Dhabi residential sales hit Dh38.1bn in Q1","yes","200,indexable","market-pulse","Abu Dhabi Q1 residential sales","IMPROVE","self","high","I1 contextual Yas image","S3 one credible publication only","News; candidate for separate Raj Abu Dhabi cycle analysis","separate Latest from Raj thesis then /engage","high","Add ADREC/DARI primary dataset, exact chart and metric definitions"
"primary-article","/news/2026-06-17-dir-completes-189-villa-delivery-at-danah-bay-as-rak-gains-i","DIR completes 189 villas at Danah Bay as RAK gains traction","yes","200,indexable","market-pulse","Danah Bay handover and RAK supply","IMPROVE","self","medium","I1 contextual Palm Jumeirah image is mismatched","S2 three independent publications","News with Al Marjan/Wynn advisory bridge","https://investwithraj.com/areas/al-marjan-island then /engage","high","Canonical duplicate survivor; use exact Danah Bay media and first-party handover evidence"
"primary-article","/news/2026-06-14-branded-residences-command-64-premium-as-dubai-buyers-chase-","Branded residences command 64% premium","yes","200,indexable","market-pulse","Dubai branded-residence premium","IMPROVE","self","high","I1 contextual Palm Jebel Ali image","S2 two publications","News; strong candidate for separately authored Raj branded-residence thesis","separate Latest from Raj thesis then /engage","high","Add underlying study/methodology, segment caveats and exact chart"
"primary-article","/news/2026-06-13-palm-jumeirah-handover-2026-two-sold-out-towers-test-the-cre","Palm Jumeirah handover: two sold-out towers","yes","200,indexable","market-pulse","Serenia Living completion and Palm supply","IMPROVE","self","medium","I1 contextual Palm Jumeirah image","S3 one credible publication only","News with direct Palm Jumeirah dossier bridge","https://investwithraj.com/areas/palm-jumeirah then /engage","high","Add developer/authority handover record and exact project image"
"primary-article","/news/2026-06-12-dubai-luxury-off-plan-sales-hit-aed4-96bn-in-may","Dubai luxury off-plan sales hit AED 4.96bn in May","yes","200,indexable","market-pulse","Dubai monthly luxury off-plan sales","MERGE","/news/2026-08-13-dubai-luxury-segment-posts-aed-87-71bn-as-conviction","high","I1 contextual Palm Jumeirah image","S3 one credible publication only","News; evidence belongs in newer luxury-cycle report","newer report then separate authored thesis and /engage","high","Merge time-series point and 301; retain source attribution"
"primary-article","/news/2026-06-11-emaar-unveils-dh200bn-masterplan-for-150-000-residents-in-du","Emaar unveils Dh200bn masterplan","yes","200,indexable","launch","Emaar masterplan scale and supply","IMPROVE","self","high","I1 contextual Palm Jumeirah image","S2 four independent publications; no first-party link","News with direct Emaar dossier bridge","https://investwithraj.com/developers/emaar then /engage","high","Add Emaar/masterplan primary source, exact site identity and image"
"primary-article","/news/2026-06-10-shangri-la-dubai-sells-for-dh1-1bn-as-sheikh-zayed-road-valu","Shangri-La Dubai sells for Dh1.1bn","yes","200,indexable","market-pulse","Shangri-La Dubai hotel transaction","IMPROVE","self","medium","I1 contextual Downtown image","S2 three independent publications","News only; possible Dubai hospitality thesis if Raj authors it","/engage via decision CTA","high","Canonical transaction survivor; add buyer/seller primary filings and exact asset image"
"primary-article","/news/2026-06-10-cbd-and-dubai-holding-real-estate-launch-aed-157-9bn-backed-","CBD and Dubai Holding launch mortgage programme","yes","200,indexable","launch","Dubai Holding mortgage programme","IMPROVE","self","high","I1 contextual Nakheel developer image is mismatched","S2 four publications; no CBD/Dubai Holding primary terms linked","News with Dubai Holding/Nakheel ecosystem bridge","https://investwithraj.com/developers/nakheel then /engage where genuinely relevant","medium","Fix entity matching, exact programme terms and media before using a developer dossier CTA"
"primary-article","/news/2026-06-07-dubai-logs-dhs28-51bn-in-may-property-deals-as-off-plan-abso","Dubai logs Dhs28.51bn in May property deals","yes","200,indexable","market-pulse","Dubai May transaction mix","IMPROVE","self","high","I2 no display media","S1 DLD primary plus three publications","News; potential input to separate Raj off-plan thesis","separate Latest from Raj thesis then /engage","high","Add exact chart and clarify whether value/share bases align"
"primary-article","/news/2026-06-06-dubai-s-off-plan-dominance-66-900-sales-in-five-months-as-ma","Dubai off-plan dominance: 66,900 sales in five months","yes","200,indexable","market-pulse","Dubai five-month off-plan sales","MERGE","/news/2026-07-26-off-plan-sales-capture-71-of-dubai-transactions-as-h1-2026-h","high","I2 no display media","S2 three publications","News; fold evidence into H1 off-plan report","H1 report then separate authored thesis and /engage","high","Merge compatible five-month point, preserve methodology and 301"
"primary-article","/news/2026-06-05-abu-dhabi-s-rent-freeze-a-structural-intervention-in-the-cap","Abu Dhabi rent freeze","yes","200,indexable","policy-news","Abu Dhabi rent-freeze rules and implications","IMPROVE","self","high","I2 no display media","S2 five citations but one publication domain repeated; no official rule linked","News; strong candidate for separately authored Raj landlord/tenant analysis","separate Latest from Raj thesis then /engage","medium","High-stakes current policy: attach official rule, scope, duration and dated correction process"
"primary-article","/news/2026-05-31-al-barari-villa-leased-for-aed-14-million-sets-dubai-rental-","Al Barari villa leased for AED 14m over two years","yes","200,indexable","market-pulse","Al Barari record villa lease","REDIRECT","/news/2026-05-30-al-barari-villa-lease-resets-dubai-ultra-prime-rental-ceilin","medium","I1 contextual Palm Jumeirah image is mismatched","S3 one publication only","News; consolidate into canonical Al Barari transaction report","canonical report then /engage","high","Same deal as AED 7m per annum story; merge fuller detail before 301"
"primary-article","/news/2026-05-30-al-barari-villa-lease-resets-dubai-ultra-prime-rental-ceilin","Al Barari villa lease resets rental ceiling at AED 7m per annum","yes","200,indexable","market-pulse","Al Barari ultra-prime villa rent record","IMPROVE","self","medium","I1 contextual Palm Jumeirah image is mismatched","S2 publication plus property portal","News; candidate for separate Raj ultra-prime leasing thesis","/engage via decision CTA; future relevant dossier","high","Canonical survivor; use exact Al Barari image, DLD/transaction evidence and disclose annual/two-year framing"
"primary-article","/news/2026-05-30-dubai-s-19-6m-visitors-drive-luxury-property-surge-as-touris","Dubai tourism and luxury-property surge","yes","200,indexable","market-pulse","relationship between tourism and luxury property","NOINDEX","self; remove from sitemap","high","I1 contextual Palm Jebel Ali image","S2 two publications but causal thesis is not directly established","News only until causal analysis is evidenced","global /engage only","medium","Rewrite with bounded correlation and primary tourism/property series before reconsidering indexation"
"content-exception","/news/2026-06-17-dir-completes-189-villa-delivery-at-danah-bay-as-rak-absorbs","DIR completes 189 villas at Danah Bay as RAK absorbs premium stock","no","200,indexable","market-pulse","Danah Bay handover and RAK supply","REDIRECT","/news/2026-06-17-dir-completes-189-villa-delivery-at-danah-bay-as-rak-gains-i","medium","I2 no display media","S2 two independent publications","News duplicate; canonical survivor has Al Marjan advisory bridge","canonical report then https://investwithraj.com/areas/al-marjan-island and /engage","high","Live and statically generated but omitted by near-duplicate sitemap selector; add explicit 301"
"primary-area","/areas/hudayriyat-island","Hudayriyat Island","yes","200,indexable","area-report-index","Hudayriyat Island property news","REDIRECT","https://investwithraj.com/areas/hudayriyat-island","high","contextual area image only","zero page citations; generic empty-body template; two loose mention matches","Advisory area dossier is canonical","advisory dossier then /engage","high","Validate that both matched reports are central enough to retain as links on the dossier"
"primary-area","/areas/palm-jebel-ali","Palm Jebel Ali","yes","200,indexable","area-report-index","Palm Jebel Ali property news","REDIRECT","https://investwithraj.com/areas/palm-jebel-ali","high","contextual area image only","zero page citations; generic empty-body template; four mention matches, several incidental","Advisory area dossier is canonical; project listing may be secondary","advisory dossier then /engage","high","Also relate selectively to https://investwithraj.com/projects/palm-jebel-ali-private-listings"
"primary-area","/areas/wynn-al-marjan","Wynn Al Marjan","yes","200,indexable","area-report-index","Wynn Al Marjan and RAK property news","REDIRECT","https://investwithraj.com/projects/wynn-al-marjan","high","contextual area image only","zero page citations; generic empty-body template; two mention matches","Advisory project dossier is canonical","advisory project then /engage","high","One matched report is the unsitemapped Danah Bay duplicate; curate links after merge"
"primary-area","/areas/downtown-dubai","Downtown Dubai","yes","200,indexable","area-report-index","Downtown Dubai property news","REDIRECT","https://investwithraj.com/areas/downtown-dubai","high","contextual area image only","zero page citations; generic empty-body template; five mention matches","Advisory area dossier is canonical","advisory dossier then /engage","high","Use only central-subject reports on destination"
"primary-area","/areas/dubai-marina","Dubai Marina","yes","200,indexable","area-report-index","Dubai Marina property news","REDIRECT","https://investwithraj.com/areas/dubai-marina","high","contextual area image only","zero page citations; generic empty-body template; two mention matches","Advisory area dossier is canonical","advisory dossier then /engage","high","Current matches are broad market/buyer reports, not Marina-specific reporting"
"primary-area","/areas/palm-jumeirah","Palm Jumeirah","yes","200,indexable","area-report-index","Palm Jumeirah property news","REDIRECT","https://investwithraj.com/areas/palm-jumeirah","high","contextual area image only","zero page citations; generic empty-body template; 15 mention matches with heavy incidental leakage","Advisory area dossier is canonical","advisory dossier then /engage","high","Matcher incorrectly associates DIR RAK and Al Barari stories; destination must curate central-subject links"
"primary-area","/areas/business-bay","Business Bay","yes","200,indexable","area-report-index","Business Bay property news","NOINDEX","self; remove from sitemap","high","contextual area image only","zero page citations; generic empty-body template; nine mostly broad mention matches","No verified advisory destination in relation map","global /engage; future area dossier","high","Keep only as internal /news filter until a substantive dossier or at least three central reports exist"
"primary-area","/areas/difc","DIFC","yes","200,indexable","area-report-index","DIFC office/property news","NOINDEX","self; remove from sitemap","high","contextual area image only","zero page citations; generic empty-body template; one report","No verified advisory destination in relation map","global /engage; future area dossier","high","Thin page; retain taxonomy only"
"primary-area","/areas/dubai-hills-estate","Dubai Hills Estate","yes","200,indexable","area-report-index","Dubai Hills Estate property news","REDIRECT","https://investwithraj.com/areas/dubai-hills-estate","high","contextual area image only","zero page citations; generic empty-body template; three broad mention matches","Advisory area dossier is canonical","advisory dossier then /engage","high","Curate report links because the current matches are market-wide"
"primary-area","/areas/jvc","JVC","yes","200,indexable","area-report-index","JVC property news","NOINDEX","self; remove from sitemap","high","contextual area image only","zero page citations; generic empty-body template; three broad mention matches","No verified advisory destination in relation map","global /engage; future area dossier","high","Keep only as an internal filter until canonical advisory ownership is established"
"primary-area","/areas/mbr-city","MBR City","yes","200,indexable","area-report-index","MBR City property news","NOINDEX","self; remove from sitemap","high","contextual area image only","zero page citations; generic empty-body template; one report","No verified advisory destination in relation map","global /engage; future area dossier","high","Thin and not independently useful"
"primary-area","/areas/dubai-creek-harbour","Dubai Creek Harbour","yes","200,indexable","area-report-index","Dubai Creek Harbour property news","REDIRECT","https://investwithraj.com/areas/dubai-creek-harbour","high","contextual area image only","zero page citations; generic empty-body template; one broad report","Advisory area dossier is canonical","advisory dossier then /engage","high","One newsroom mention does not justify a separate indexable news page"
"primary-area","/areas/saadiyat-island","Saadiyat Island","yes","200,indexable","area-report-index","Saadiyat Island property news","REDIRECT","https://investwithraj.com/areas/saadiyat-island","high","contextual area image only","zero page citations; generic empty-body template; four matches","Advisory area dossier is canonical","advisory dossier then /engage","high","Marsa report is strong; other matches require centrality review"
"primary-area","/areas/yas-island","Yas Island","yes","200,indexable","area-report-index","Yas Island property news","REDIRECT","https://investwithraj.com/areas/yas-island","high","contextual area image only","zero page citations; generic empty-body template; four matches including mismatched Masdar launch","Advisory area dossier is canonical","advisory dossier then /engage","high","Remove Burtville/Masdar false association from destination curation"
"primary-area","/areas/al-reem-island","Al Reem Island","yes","200,indexable","area-report-index","Al Reem Island property news","REDIRECT","https://investwithraj.com/areas/al-reem-island","high","contextual area image only","zero page citations; generic empty-body template; four matches","Advisory area dossier is canonical","advisory dossier then /engage","high","Most matches mention Reem incidentally; curate central reports"
"primary-area","/areas/al-raha-beach","Al Raha Beach","yes","200,indexable","area-report-index","Al Raha Beach property news","NOINDEX","self; remove from sitemap","high","contextual area image only","zero page citations; generic empty-body template; two incidental matches","No verified advisory destination in relation map","global /engage; future area dossier","high","Taxonomy-only until a real dossier or focused coverage exists"
"primary-area","/areas/masdar-city","Masdar City","yes","200,indexable","area-report-index","Masdar City property news","NOINDEX","self; remove from sitemap","high","contextual area image only","zero page citations; generic empty-body template; one single-source launch","No verified advisory destination in relation map","global /engage; future area dossier","high","Thin page inherits the Burtville source and image problems"
"primary-area","/areas/al-reef","Al Reef","yes","200,indexable","area-report-index","Al Reef property news","NOINDEX","self; remove from sitemap","high","contextual area image only","zero page citations; generic empty-body template; one incidental report","No verified advisory destination in relation map","global /engage; future area dossier","high","Thin page; taxonomy only"
"primary-area","/areas/al-marjan-island","Al Marjan Island","yes","200,indexable","area-report-index","Al Marjan Island property news","REDIRECT","https://investwithraj.com/areas/al-marjan-island","high","contextual area image only","zero page citations; generic empty-body template; three matches including duplicate Danah Bay pair","Advisory area dossier is canonical; Wynn project is secondary","advisory dossier then /engage","high","Curate Omniyat and canonical Danah Bay report; remove duplicate"
"primary-developer","/developer/emaar","Emaar Properties reports","yes","200,indexable","developer-report-index","Emaar news and launches","REDIRECT","https://investwithraj.com/developers/emaar","high","verified developer context only","one matched report; generic report-index template","Advisory developer dossier is canonical","developer dossier then /engage","high","Merge report link into advisory dossier"
"primary-developer","/developer/aldar","Aldar Properties reports","yes","200,indexable","developer-report-index","Aldar news and launches","REDIRECT","https://investwithraj.com/developers/aldar","high","verified developer context only","two matched reports; one strong exact-source article","Advisory developer dossier is canonical","developer dossier then /engage","high","Preserve Marsa and Yas Point news links on dossier"
"primary-developer","/developer/nakheel","Nakheel reports","yes","200,indexable","developer-report-index","Nakheel news","REDIRECT","https://investwithraj.com/developers/nakheel","high","verified developer context only","one algorithmic match from a Dubai Holding/CBD story","Advisory developer dossier is canonical","developer dossier then /engage","medium","Matching appears entity-adjacent rather than central; validate before adding report link"
"primary-developer","/developer/modon","Modon Properties reports","yes","200,indexable","developer-report-index","Modon news and launches","REDIRECT","https://investwithraj.com/developers/modon","high","verified developer context only","one single-syndicated-source report","Advisory developer dossier is canonical","developer dossier then /engage","high","Link only after source improvement"
"primary-developer","/developer/sobha","Sobha Realty reports","yes","200,indexable","developer-report-index","Sobha news","REDIRECT","https://investwithraj.com/developers/sobha","high","verified developer context only","two likely incidental matcher results","Advisory developer dossier is canonical","developer dossier then /engage","medium","Shangri-La and CBD/Dubai Holding stories do not appear Sobha-central; do not carry false associations"
"primary-developer","/developer/dubai-holding","Dubai Holding reports","yes","200,indexable","developer-report-index","Dubai Holding news","NOINDEX","self; remove from sitemap","high","verified developer context only","two matched reports; no mapped advisory dossier","No verified advisory destination in relation map","global /engage; future developer dossier","high","Remove indexation until canonical advisory ownership and substantive coverage exist"
